Status,Nama
SMA N,SMAN 4 Cirebon
SMA N,SMAN 7 Cirebon
SMA N,SMAN 2 Cirebon
SMA N,SMAN 6 Cirebon
SMA N,SMAN 1 Cirebon
SMA N,SMAN 8 Cirebon
SMA N,SMAN 3 Cirebon
SMA N,SMAN 9 Cirebon
SMA N,SMAN 5 Cirebon
SMA S,SMA Advent
SMA S,SMA Cokroaminoto
SMA S,SMAIS Al Azhar
SMA S,SMA Kartika 3
SMA S,SMA Kartika 5
SMA S,SMAK BPK Penabur
SMA S,SMA Santa Maria 1
SMA S,SMA Telekomuikasi
SMA S,SMA Taman Siswa
SMA S,SMA Widya Utama
SMA S,SMA Windu Wacana
SMK S,SMK Cendekia
SMK S,SMK Alhidayah
SMK S,SMK Telekomunikasi
SMK N,SMKN 1 Kota Cirebon
SMK S,SMK Presiden Cirebon
SMK S,SMK Kartika
SMK N,SMKN 2 Cirebon
SMK S,SMK Cipto Cirebon
SMK S,SMK Taman Siswa
SMK S,SMK NU Kota Cirebon
SMK S,SMK Pariwisata
SMK S,SMK Informatika
SMK S,SMK Muhammadiyah
SMK S,SMK Nasional
SMK S,SMK Veteran
SMK S,SMK Wahidin
SMA S,SMA Nurusshidiq
